Scene,rater1,rater2,rater3,rater4,rater5,rater6,rater7,avg,var,,"How often could you find children here? 1: Never, 2: Rarely, 3: Sometimes, 4: Often, 5: Very often"
organ_loft/exterior          ,2,2,2,2,2,2,2,2.00,0.00,,
police_station               ,2,2,2,2,2,2,2,2.00,0.00,,
threshing_floor              ,2,2,2,2,2,2,2,2.00,0.00,,
waterfall/cataract           ,2,2,2,2,2,2,2,2.00,0.00,,
whispering_gallery           ,2,2,2,2,2,2,2,2.00,0.00,,
workroom                     ,2,2,2,2,2,2,2,2.00,0.00,,
cliff                        ,1,2,2,3,2,2,2,2.00,0.33,,
overpass                     ,1,2,3,2,2,2,2,2.00,0.33,,
sacristy                     ,3,2,2,1,2,2,2,2.00,0.33,,
sanatorium                   ,3,2,2,1,2,2,2,2.00,0.33,,
sand_trap                    ,3,2,2,1,2,2,2,2.00,0.33,,
shipping_room                ,3,2,2,1,2,2,2,2.00,0.33,,
starting_gate                ,3,2,2,1,2,2,2,2.00,0.33,,
stateroom                    ,3,2,2,1,2,2,2,2.00,0.33,,
streetcar_track              ,2,2,3,1,2,2,2,2.00,0.33,,
tidal_basin                  ,2,2,3,1,2,2,2,2.00,0.33,,
tiltyard                     ,3,2,2,1,2,2,2,2.00,0.33,,
tollgate                     ,2,2,2,1,2,2,3,2.00,0.33,,
turkish_bath                 ,3,2,2,1,2,2,2,2.00,0.33,,
utility_room                 ,1,2,2,2,2,2,3,2.00,0.33,,
watchtower                   ,1,2,3,2,2,2,2,2.00,0.33,,
waterfall/plunge             ,1,2,2,3,2,2,2,2.00,0.33,,
widows_walk/exterior         ,1,2,3,2,2,2,2,2.00,0.33,,
anechoic_chamber             ,3,2,2,2,2,2,1,2.00,0.33,,
archaelogical_excavation     ,3,2,2,2,2,2,1,2.00,0.33,,
chuck_wagon                  ,3,2,2,2,2,2,1,2.00,0.33,,
crevasse                     ,2,2,3,2,2,2,1,2.00,0.33,,
cubicle/office               ,3,2,2,2,2,2,1,2.00,0.33,,
ditch                        ,3,2,2,2,2,2,1,2.00,0.33,,
dry_dock                     ,3,2,2,2,2,2,1,2.00,0.33,,
flying_buttress              ,2,2,3,2,2,2,1,2.00,0.33,,
fort                         ,3,2,2,2,2,2,1,2.00,0.33,,
glacier                      ,2,2,2,3,2,2,1,2.00,0.33,,
hangar/indoor                ,2,2,3,2,2,2,1,2.00,0.33,,
hangar/outdoor               ,2,2,3,2,2,2,1,2.00,0.33,,
heliport                     ,2,2,3,2,2,2,1,2.00,0.33,,
jetliner/outside             ,2,2,3,2,2,2,1,2.00,0.33,,
jumbo_jet/outdoor            ,2,2,3,2,2,2,1,2.00,0.33,,
mansard                      ,3,2,2,2,2,2,1,2.00,0.33,,
open-hearth_furnace          ,2,2,2,3,2,2,1,2.00,0.33,,
pilothouse/indoor            ,3,2,2,2,2,2,1,2.00,0.33,,
pilothouse/outdoor           ,3,2,2,2,2,2,1,2.00,0.33,,
rain-wash                    ,2,2,3,2,2,2,1,2.00,0.33,,
repair_shop                  ,3,2,2,2,2,2,1,2.00,0.33,,
road_cut                     ,2,2,3,2,2,2,1,2.00,0.33,,
spillway                     ,2,2,3,2,2,2,1,2.00,0.33,,
swamp                        ,2,2,3,2,2,2,1,2.00,0.33,,
taxiway                      ,3,2,2,2,2,2,1,2.00,0.33,,
dolmen                       ,3,2,3,1,2,2,1,2.00,0.67,,
weighbridge                  ,3,2,3,1,2,2,1,2.00,0.67,,
air_base                     ,2,2,1,2,4,2,1,2.00,1.00,,
ice_floe                     ,1,3,2,1,3,3,1,2.00,1.00,,
luggage_van                  ,4,2,2,1,2,2,1,2.00,1.00,,
pub/indoor                   ,4,2,2,1,2,2,1,2.00,1.00,,
pumping_station              ,4,2,2,1,2,2,1,2.00,1.00,,
shipyard/outdoor             ,2,2,2,1,4,2,1,2.00,1.00,,
penalty_box                  ,3,1,3,3,1,1,2,2.00,1.00,,
backwoods                    ,4,1,3,2,2,1,1,2.00,1.33,,
bookbindery                  ,2,2,2,1,2,2,2,1.86,0.14,,
brewery/outdoor              ,2,2,2,1,2,2,2,1.86,0.14,,
casino/indoor                ,2,2,2,1,2,2,2,1.86,0.14,,
casino/outdoor               ,2,2,2,1,2,2,2,1.86,0.14,,
catwalk                      ,1,2,2,2,2,2,2,1.86,0.14,,
cloakroom/booth              ,2,2,2,1,2,2,2,1.86,0.14,,
elevated_catwalk             ,1,2,2,2,2,2,2,1.86,0.14,,
factory/outdoor              ,2,2,2,1,2,2,2,1.86,0.14,,
furnace_room                 ,2,2,2,1,2,2,2,1.86,0.14,,
garbage_dump                 ,2,2,2,1,2,2,2,1.86,0.14,,
railroad_track               ,1,2,2,2,2,2,2,1.86,0.14,,
saloon                       ,2,2,2,1,2,2,2,1.86,0.14,,
sky                          ,2,2,2,1,2,2,2,1.86,0.14,,
tidal_river                  ,2,2,2,1,2,2,2,1.86,0.14,,
tollbooth                    ,2,2,2,1,2,2,2,1.86,0.14,,
trading_floor                ,2,2,1,2,2,2,2,1.86,0.14,,
tunnel/waterway              ,2,2,2,1,2,2,2,1.86,0.14,,
viaduct                      ,2,2,2,1,2,2,2,1.86,0.14,,
warehouse/outdoor            ,2,2,2,1,2,2,2,1.86,0.14,,
waterfall/frozen             ,1,2,2,2,2,2,2,1.86,0.14,,
witness_stand                ,2,2,1,2,2,2,2,1.86,0.14,,
berth                        ,2,2,2,2,2,2,1,1.86,0.14,,
darkroom                     ,2,2,2,2,2,2,1,1.86,0.14,,
editing_room                 ,2,2,2,2,2,2,1,1.86,0.14,,
fire_station                 ,2,2,2,2,2,2,1,1.86,0.14,,
organ_loft/interior          ,2,2,2,2,2,2,1,1.86,0.14,,
oyster_farm                  ,2,2,2,2,2,2,1,1.86,0.14,,
rubble                       ,2,2,2,2,2,2,1,1.86,0.14,,
supply_chamber               ,2,2,2,2,2,2,1,1.86,0.14,,
tundra                       ,2,2,2,2,2,2,1,1.86,0.14,,
wet_bar                      ,1,2,2,1,3,2,2,1.86,0.48,,
badlands                     ,2,2,2,1,3,2,1,1.86,0.48,,
beer_hall                    ,2,2,2,1,3,2,1,1.86,0.48,,
bindery                      ,2,2,2,1,3,2,1,1.86,0.48,,
earth_fissure                ,1,2,2,3,2,2,1,1.86,0.48,,
embrasure                    ,3,2,2,1,2,2,1,1.86,0.48,,
firing_range/outdoor         ,1,2,2,3,2,2,1,1.86,0.48,,
flood                        ,1,2,2,3,2,2,1,1.86,0.48,,
guardhouse                   ,2,2,3,1,2,2,1,1.86,0.48,,
guardroom                    ,2,2,3,1,2,2,1,1.86,0.48,,
head_shop                    ,3,2,2,1,2,2,1,1.86,0.48,,
levee                        ,3,2,2,1,2,2,1,1.86,0.48,,
loading_dock                 ,2,2,3,1,2,2,1,1.86,0.48,,
lock_chamber                 ,3,2,2,1,2,2,1,1.86,0.48,,
sinkhole                     ,2,2,2,1,3,2,1,1.86,0.48,,
sugar_refinery               ,3,2,2,1,2,2,1,1.86,0.48,,
train_railway                ,3,2,2,1,2,2,1,1.86,0.48,,
water_gate                   ,1,2,3,2,2,2,1,1.86,0.48,,
betting_shop                 ,2,1,2,1,3,1,3,1.86,0.81,,
office_building              ,3,1,2,3,1,1,2,1.86,0.81,,
palisade                     ,3,1,3,2,1,1,2,1.86,0.81,,
estuary                      ,3,1,3,3,1,1,1,1.86,1.14,,
hoodoo                       ,3,1,3,3,1,1,1,1.86,1.14,,
airfield                     ,1,1,2,2,5,1,1,1.86,2.14,,
bank_vault                   ,1,2,1,1,5,2,1,1.86,2.14,,
bell_foundry                 ,1,2,1,2,2,2,2,1.71,0.24,,
kasbah                       ,2,2,1,1,2,2,2,1.71,0.24,,
quicksand                    ,1,2,2,1,2,2,2,1.71,0.24,,
walk_in_freezer              ,1,2,2,1,2,2,2,1.71,0.24,,
warehouse/indoor             ,1,2,2,1,2,2,2,1.71,0.24,,
water_tower                  ,1,2,1,2,2,2,2,1.71,0.24,,
wine_cellar/barrel_storage   ,2,2,1,1,2,2,2,1.71,0.24,,
army_base                    ,1,2,2,2,2,2,1,1.71,0.24,,
auto_racing_paddock          ,2,2,1,2,2,2,1,1.71,0.24,,
battlement                   ,2,2,1,2,2,2,1,1.71,0.24,,
factory/indoor               ,2,2,2,1,2,2,1,1.71,0.24,,
firing_range/indoor          ,1,2,2,2,2,2,1,1.71,0.24,,
landfill                     ,2,2,1,2,2,2,1,1.71,0.24,,
launchpad                    ,2,2,2,1,2,2,1,1.71,0.24,,
lumberyard/indoor            ,2,2,2,1,2,2,1,1.71,0.24,,
lumberyard/outdoor           ,2,2,2,1,2,2,1,1.71,0.24,,
machine_shop                 ,2,2,2,1,2,2,1,1.71,0.24,,
rolling_mill                 ,1,2,2,2,2,2,1,1.71,0.24,,
salt_plain                   ,2,2,2,1,2,2,1,1.71,0.24,,
steam_plant/outdoor          ,2,2,2,1,2,2,1,1.71,0.24,,
tannery                      ,2,2,2,1,2,2,1,1.71,0.24,,
thunderhead                  ,1,2,2,2,2,2,1,1.71,0.24,,
tunnel/road_indoor           ,1,2,2,2,2,2,1,1.71,0.24,,
tunnel/road_outdoor          ,1,2,2,2,2,2,1,1.71,0.24,,
underwater/ocean_deep        ,2,2,2,1,2,2,1,1.71,0.24,,
vat                          ,2,2,2,1,2,2,1,1.71,0.24,,
volcano                      ,1,2,2,2,2,2,1,1.71,0.24,,
windstorm                    ,1,2,2,2,2,2,1,1.71,0.24,,
server_room                  ,2,1,2,2,3,1,1,1.71,0.57,,
biology_laboratory           ,1,2,1,2,3,2,1,1.71,0.57,,
forklift                     ,3,2,1,1,2,2,1,1.71,0.57,,
lair                         ,3,2,1,1,2,2,1,1.71,0.57,,
office                       ,3,1,2,2,1,1,2,1.71,0.57,,
office_cubicles              ,3,1,2,2,1,1,2,1.71,0.57,,
orchestra_pit                ,2,1,2,3,1,1,2,1.71,0.57,,
oyster_bar                   ,3,1,2,2,1,1,2,1.71,0.57,,
retaining_wall               ,3,1,2,2,1,1,2,1.71,0.57,,
irrigation_ditch             ,3,1,3,1,1,1,2,1.71,0.90,,
menhir                       ,3,1,3,2,1,1,1,1.71,0.90,,
barrack                      ,1,2,1,1,4,2,1,1.71,1.24,,
aircraft_carrier_object      ,1,1,1,2,5,1,1,1.71,2.24,,
armory                       ,1,2,2,1,2,2,1,1.57,0.29,,
auto_factory                 ,1,2,2,1,2,2,1,1.57,0.29,,
burial_chamber               ,1,2,1,2,2,2,1,1.57,0.29,,
crane                        ,1,2,2,1,2,2,1,1.57,0.29,,
distillery                   ,1,2,2,1,2,2,1,1.57,0.29,,
iceberg                      ,1,2,2,1,2,2,1,1.57,0.29,,
incinerator/indoor           ,1,2,2,1,2,2,1,1.57,0.29,,
incinerator/outdoor          ,1,2,2,1,2,2,1,1.57,0.29,,
industrial_area              ,2,2,1,1,2,2,1,1.57,0.29,,
industrial_park              ,2,2,1,1,2,2,1,1.57,0.29,,
morgue                       ,1,2,2,1,2,2,1,1.57,0.29,,
runway                       ,1,2,2,1,2,2,1,1.57,0.29,,
strip_mine                   ,2,2,1,1,2,2,1,1.57,0.29,,
tobacco_shop/indoor          ,2,2,1,1,2,2,1,1.57,0.29,,
tunnel/rail_indoor           ,1,2,2,1,2,2,1,1.57,0.29,,
tunnel/rail_outdoor          ,1,2,2,1,2,2,1,1.57,0.29,,
ventilation_shaft            ,1,2,2,1,2,2,1,1.57,0.29,,
elevator/freight_elevator    ,2,1,2,2,1,1,2,1.57,0.29,,
ferryboat/cargo_deck         ,2,1,2,2,1,1,2,1.57,0.29,,
fire_escape                  ,2,1,2,2,1,1,2,1.57,0.29,,
military_hospital            ,2,1,2,2,1,1,2,1.57,0.29,,
trench                       ,2,1,2,2,1,1,2,1.57,0.29,,
wine_cellar/bottle_storage   ,1,2,1,1,2,2,2,1.57,0.29,,
bathyscape                   ,3,1,2,1,2,1,1,1.57,0.62,,
ghost_town                   ,2,1,2,3,1,1,1,1.57,0.62,,
naval_base                   ,3,1,2,2,1,1,1,1.57,0.62,,
newsroom                     ,3,1,2,2,1,1,1,1.57,0.62,,
sawmill                      ,2,1,2,1,3,1,1,1.57,0.62,,
sewer                        ,2,1,1,2,3,1,1,1.57,0.62,,
call_center                  ,2,1,3,1,1,1,2,1.57,0.62,,
cardroom                     ,3,1,2,1,1,1,2,1.57,0.62,,
tomb                         ,3,1,1,2,1,1,2,1.57,0.62,,
watering_hole                ,1,1,3,2,1,1,2,1.57,0.62,,
brewery/indoor               ,2,1,2,1,1,1,2,1.43,0.29,,
gun_store                    ,1,1,2,2,1,1,2,1.43,0.29,,
power_plant/indoor           ,2,1,2,1,1,1,2,1.43,0.29,,
power_plant/outdoor          ,2,1,2,1,1,1,2,1.43,0.29,,
tap_house                    ,2,1,2,1,1,1,2,1.43,0.29,,
voting_booth                 ,2,1,2,1,1,1,2,1.43,0.29,,
airlock                      ,1,2,1,1,2,2,1,1.43,0.29,,
assembly_line                ,1,2,1,1,2,2,1,1.43,0.29,,
assembly_plant               ,1,2,1,1,2,2,1,1.43,0.29,,
auto_mechanics/indoor        ,1,2,1,1,2,2,1,1.43,0.29,,
auto_mechanics/outdoor       ,1,2,1,1,2,2,1,1.43,0.29,,
bar                          ,2,1,1,1,2,1,2,1.43,0.29,,
control_room                 ,1,2,1,1,2,2,1,1.43,0.29,,
discotheque                  ,2,1,2,2,1,1,1,1.43,0.29,,
electrical_substation        ,1,2,1,1,2,2,1,1.43,0.29,,
engine_room                  ,2,1,2,2,1,1,1,1.43,0.29,,
excavation                   ,2,1,2,2,1,1,1,1.43,0.29,,
firebreak                    ,2,1,2,2,1,1,1,1.43,0.29,,
foundry/indoor               ,1,2,1,1,2,2,1,1.43,0.29,,
foundry/outdoor              ,1,2,1,1,2,2,1,1.43,0.29,,
insane_asylum                ,1,2,1,1,2,2,1,1.43,0.29,,
landing_strip                ,2,1,2,2,1,1,1,1.43,0.29,,
military_headquarters        ,2,1,2,2,1,1,1,1.43,0.29,,
ossuary                      ,2,1,2,2,1,1,1,1.43,0.29,,
railway_yard                 ,2,1,2,2,1,1,1,1.43,0.29,,
recycling_plant/indoor       ,2,1,2,2,1,1,1,1.43,0.29,,
recycling_plant/outdoor      ,2,1,2,2,1,1,1,1.43,0.29,,
submarine_interior           ,2,1,2,2,1,1,1,1.43,0.29,,
war_room                     ,1,2,1,1,2,2,1,1.43,0.29,,
drainage_ditch               ,2,1,3,1,1,1,1,1.43,0.62,,
juke_joint                   ,3,1,2,1,1,1,1,1.43,0.62,,
paper_mill                   ,2,1,3,1,1,1,1,1.43,0.62,,
fire_trench                  ,2,1,2,1,1,1,1,1.29,0.24,,
legislative_chamber          ,2,1,2,1,1,1,1,1.29,0.24,,
military_hut                 ,2,1,2,1,1,1,1,1.29,0.24,,
military_tent                ,2,1,2,1,1,1,1,1.29,0.24,,
packaging_plant              ,2,1,2,1,1,1,1,1.29,0.24,,
physics_laboratory           ,1,1,2,2,1,1,1,1.29,0.24,,
pump_room                    ,2,1,2,1,1,1,1,1.29,0.24,,
steel_mill/indoor            ,2,1,2,1,1,1,1,1.29,0.24,,
steel_mill/outdoor           ,2,1,2,1,1,1,1,1.29,0.24,,
liquor_store/outdoor         ,2,1,1,1,1,1,2,1.29,0.24,,
battlefield                  ,1,1,1,1,3,1,1,1.29,0.57,,
gasworks                     ,3,1,1,1,1,1,1,1.29,0.57,,
manhole                      ,3,1,1,1,1,1,1,1.29,0.57,,
chemistry_lab                ,1,1,1,2,1,1,1,1.14,0.14,,
cocktail_lounge              ,2,1,1,1,1,1,1,1.14,0.14,,
forest_fire                  ,1,1,1,2,1,1,1,1.14,0.14,,
gas_well                     ,2,1,1,1,1,1,1,1.14,0.14,,
gun_deck/indoor              ,1,1,2,1,1,1,1,1.14,0.14,,
gun_deck/outdoor             ,1,1,2,1,1,1,1,1.14,0.14,,
jail/indoor                  ,1,1,1,2,1,1,1,1.14,0.14,,
jail/outdoor                 ,1,1,1,2,1,1,1,1.14,0.14,,
jury_box                     ,2,1,1,1,1,1,1,1.14,0.14,,
liquor_store/indoor          ,2,1,1,1,1,1,1,1.14,0.14,,
mine                         ,1,1,2,1,1,1,1,1.14,0.14,,
nightclub                    ,2,1,1,1,1,1,1,1.14,0.14,,
nuclear_power_plant/indoor   ,2,1,1,1,1,1,1,1.14,0.14,,
nuclear_power_plant/outdoor  ,2,1,1,1,1,1,1,1.14,0.14,,
nuclear_submarine/outdoor    ,2,1,1,1,1,1,1,1.14,0.14,,
particle_accelerator         ,1,1,2,1,1,1,1,1.14,0.14,,
cargo_deck/boat              ,1,1,1,1,1,1,2,1.14,0.14,,
gallows                      ,1,1,1,1,1,1,2,1.14,0.14,,
torture_chamber              ,1,1,1,1,1,1,2,1.14,0.14,,
cargo_container_interior     ,1,1,1,1,1,1,1,1.00,0.00,,
cargo_deck/airplane          ,1,1,1,1,1,1,1,1.00,0.00,,
cargo_helicopter             ,1,1,1,1,1,1,1,1.00,0.00,,
chemical_plant               ,1,1,1,1,1,1,1,1.00,0.00,,
construction_site            ,1,1,1,1,1,1,1,1.00,0.00,,
control_tower/indoor         ,1,1,1,1,1,1,1,1.00,0.00,,
control_tower/outdoor        ,1,1,1,1,1,1,1,1.00,0.00,,
drill_rig                    ,1,1,1,1,1,1,1,1.00,0.00,,
elevator_shaft               ,1,1,1,1,1,1,1,1.00,0.00,,
jail_cell                    ,1,1,1,1,1,1,1,1.00,0.00,,
lava_flow                    ,1,1,1,1,1,1,1,1.00,0.00,,
mineshaft                    ,1,1,1,1,1,1,1,1.00,0.00,,
oil_refinery/indoor          ,1,1,1,1,1,1,1,1.00,0.00,,
oil_refinery/outdoor         ,1,1,1,1,1,1,1,1.00,0.00,,
oil_well                     ,1,1,1,1,1,1,1,1.00,0.00,,
oilrig                       ,1,1,1,1,1,1,1,1.00,0.00,,
water_treatment_plant/indoor ,1,1,1,1,1,1,1,1.00,0.00,,
water_treatment_plant/outdoor,1,1,1,1,1,1,1,1.00,0.00,,
